"ZIP
code [1]",Size of adjusted gross income,Amount
50220,"$25,000 under $50,000",47550
50220,"$50,000 under $75,000",36000
50220,"$75,000 under $100,000",29351
50220,"$100,000 under $200,000",35900
50220,"$200,000 or more",32270
,,
50222,,"12,338"
50222,"$1 under $25,000",780
50222,"$25,000 under $50,000",1929
50222,"$50,000 under $75,000",3231
50222,"$75,000 under $100,000",2477
50222,"$100,000 under $200,000",3921
50222,"$200,000 or more",**
,,
50223,,"8,172"
50223,"$1 under $25,000",579
50223,"$25,000 under $50,000",1819
50223,"$50,000 under $75,000",2881
50223,"$75,000 under $100,000",**
50223,"$100,000 under $200,000",2893
50223,"$200,000 or more",**
,,
50225,,"77,439"
50225,"$1 under $25,000",4655
50225,"$25,000 under $50,000",11155
50225,"$50,000 under $75,000",13914
50225,"$75,000 under $100,000",17701
50225,"$100,000 under $200,000",30014
50225,"$200,000 or more",**
,,
50226,,"224,651"
50226,"$1 under $25,000",6660
50226,"$25,000 under $50,000",14382
50226,"$50,000 under $75,000",20983
50226,"$75,000 under $100,000",28626
50226,"$100,000 under $200,000",90336
50226,"$200,000 or more",63664
,,
50228,,"68,174"
50228,"$1 under $25,000",3433
50228,"$25,000 under $50,000",9790
50228,"$50,000 under $75,000",12032
50228,"$75,000 under $100,000",14224
50228,"$100,000 under $200,000",28695
50228,"$200,000 or more",**
,,
50229,,"41,096"
50229,"$1 under $25,000",1629
50229,"$25,000 under $50,000",3438
50229,"$50,000 under $75,000",4317
50229,"$75,000 under $100,000",5908
50229,"$100,000 under $200,000",15027
50229,"$200,000 or more",10777
,,
50230,,"28,872"
50230,"$1 under $25,000",1798
50230,"$25,000 under $50,000",4712
50230,"$50,000 under $75,000",5522
50230,"$75,000 under $100,000",6711
50230,"$100,000 under $200,000",10129
50230,"$200,000 or more",**
,,
50232,,"13,508"
50232,"$1 under $25,000",708
50232,"$25,000 under $50,000",2187
50232,"$50,000 under $75,000",2071
50232,"$75,000 under $100,000",3545
50232,"$100,000 under $200,000",4997
50232,"$200,000 or more",**
,,
50233,,"29,290"
50233,"$1 under $25,000",2659
50233,"$25,000 under $50,000",5593
50233,"$50,000 under $75,000",6373
50233,"$75,000 under $100,000",6199
50233,"$100,000 under $200,000",8466
50233,"$200,000 or more",**
,,
50234,,"18,325"
50234,"$1 under $25,000",716
50234,"$25,000 under $50,000",2349
50234,"$50,000 under $75,000",2954
50234,"$75,000 under $100,000",2567
50234,"$100,000 under $200,000",9739
50234,"$200,000 or more",**
,,
50235,,"9,649"
50235,"$1 under $25,000",959
50235,"$25,000 under $50,000",2416
50235,"$50,000 under $75,000",2123
50235,"$75,000 under $100,000",4151
50235,"$100,000 under $200,000",**
50235,"$200,000 or more",**
,,
50236,,"48,235"
50236,"$1 under $25,000",2460
50236,"$25,000 under $50,000",6071
50236,"$50,000 under $75,000",8269
50236,"$75,000 under $100,000",10521
50236,"$100,000 under $200,000",20914
50236,"$200,000 or more",**
,,
50237,,"106,953"
50237,"$1 under $25,000",4432
50237,"$25,000 under $50,000",9460
50237,"$50,000 under $75,000",13442
50237,"$75,000 under $100,000",18623
50237,"$100,000 under $200,000",40582
50237,"$200,000 or more",20414
,,
50238,,"21,613"
50238,"$1 under $25,000",2225
50238,"$25,000 under $50,000",5046
50238,"$50,000 under $75,000",4928
50238,"$75,000 under $100,000",4356
50238,"$100,000 under $200,000",5058
50238,"$200,000 or more",**
,,
50240,,"71,744"
50240,"$1 under $25,000",3498
50240,"$25,000 under $50,000",7522
50240,"$50,000 under $75,000",10632
50240,"$75,000 under $100,000",12569
50240,"$100,000 under $200,000",26813
50240,"$200,000 or more",10710
,,
50242,,"9,081"
50242,"$1 under $25,000",754
50242,"$25,000 under $50,000",1689
50242,"$50,000 under $75,000",1793
50242,"$75,000 under $100,000",4845
50242,"$100,000 under $200,000",**
50242,"$200,000 or more",**
,,
50244,,"57,505"
50244,"$1 under $25,000",3167
50244,"$25,000 under $50,000",7022
50244,"$50,000 under $75,000",8082
50244,"$75,000 under $100,000",9574
50244,"$100,000 under $200,000",22674
50244,"$200,000 or more",6986
,,
50246,,"18,697"
50246,"$1 under $25,000",1190
50246,"$25,000 under $50,000",3158
50246,"$50,000 under $75,000",3106
50246,"$75,000 under $100,000",3878
50246,"$100,000 under $200,000",7365
50246,"$200,000 or more",**
,,
50247,,"70,654"
50247,"$1 under $25,000",4607
50247,"$25,000 under $50,000",9341
50247,"$50,000 under $75,000",10823
50247,"$75,000 under $100,000",11535
50247,"$100,000 under $200,000",21805
50247,"$200,000 or more",12543
,,
50248,,"145,357"
50248,"$1 under $25,000",7421
50248,"$25,000 under $50,000",19594
50248,"$50,000 under $75,000",21179
50248,"$75,000 under $100,000",25499
50248,"$100,000 under $200,000",45289
50248,"$200,000 or more",26375
,,
50249,,"30,856"
50249,"$1 under $25,000",2237
50249,"$25,000 under $50,000",5766
50249,"$50,000 under $75,000",6670
50249,"$75,000 under $100,000",5904
50249,"$100,000 under $200,000",10279
50249,"$200,000 or more",**
,,
50250,,"48,778"
50250,"$1 under $25,000",4836
50250,"$25,000 under $50,000",9038
50250,"$50,000 under $75,000",10790
50250,"$75,000 under $100,000",10591
50250,"$100,000 under $200,000",13523
50250,"$200,000 or more",**
,,
50251,,"46,561"
50251,"$1 under $25,000",1971
50251,"$25,000 under $50,000",5483
50251,"$50,000 under $75,000",8346
50251,"$75,000 under $100,000",8362
50251,"$100,000 under $200,000",9683
50251,"$200,000 or more",12716
,,
50252,,"9,296"
50252,"$1 under $25,000",607
50252,"$25,000 under $50,000",1353
50252,"$50,000 under $75,000",2177
50252,"$75,000 under $100,000",2032
50252,"$100,000 under $200,000",3127
50252,"$200,000 or more",**
,,
50254,,"5,314"
50254,"$1 under $25,000",578
50254,"$25,000 under $50,000",1570
50254,"$50,000 under $75,000",3166
50254,"$75,000 under $100,000",**
50254,"$100,000 under $200,000",**
50254,"$200,000 or more",**
,,
50256,,"11,059"
50256,"$1 under $25,000",824
50256,"$25,000 under $50,000",2046
50256,"$50,000 under $75,000",3155
50256,"$75,000 under $100,000",2286
50256,"$100,000 under $200,000",2748
50256,"$200,000 or more",**
,,
50257,,"24,173"
50257,"$1 under $25,000",1554
50257,"$25,000 under $50,000",2902
50257,"$50,000 under $75,000",4817
50257,"$75,000 under $100,000",5417
50257,"$100,000 under $200,000",9483
50257,"$200,000 or more",**
,,
50258,,"19,017"
50258,"$1 under $25,000",1194
50258,"$25,000 under $50,000",3432
50258,"$50,000 under $75,000",3280
50258,"$75,000 under $100,000",3591
50258,"$100,000 under $200,000",7520
50258,"$200,000 or more",**
,,
50261,,"94,857"
50261,"$1 under $25,000",3482
50261,"$25,000 under $50,000",7608
50261,"$50,000 under $75,000",8650
50261,"$75,000 under $100,000",10715
50261,"$100,000 under $200,000",32641
50261,"$200,000 or more",31761
,,
50262,,"8,387"
50262,"$1 under $25,000",833
50262,"$25,000 under $50,000",2134
50262,"$50,000 under $75,000",2213
50262,"$75,000 under $100,000",3207
50262,"$100,000 under $200,000",**
50262,"$200,000 or more",**
,,
50263,,"774,226"
50263,"$1 under $25,000",21529
50263,"$25,000 under $50,000",55421
50263,"$50,000 under $75,000",71800
50263,"$75,000 under $100,000",85690
50263,"$100,000 under $200,000",253354
50263,"$200,000 or more",286432
,,
50264,,"10,179"
50264,"$1 under $25,000",1441
50264,"$25,000 under $50,000",1703
50264,"$50,000 under $75,000",2978
50264,"$75,000 under $100,000",**
50264,"$100,000 under $200,000",4057
50264,"$200,000 or more",**
,,
50265,,"1,461,242"
50265,"$1 under $25,000",61263
50265,"$25,000 under $50,000",160692
50265,"$50,000 under $75,000",157601
50265,"$75,000 under $100,000",146380
50265,"$100,000 under $200,000",355268
50265,"$200,000 or more",580038
,,
50266,,"1,510,827"
50266,"$1 under $25,000",47927
50266,"$25,000 under $50,000",147875
50266,"$50,000 under $75,000",153457
50266,"$75,000 under $100,000",151144
50266,"$100,000 under $200,000",384465
50266,"$200,000 or more",625959
,,
50268,,"16,614"
50268,"$1 under $25,000",1920
50268,"$25,000 under $50,000",3776
50268,"$50,000 under $75,000",4206
50268,"$75,000 under $100,000",2624
50268,"$100,000 under $200,000",4088
50268,"$200,000 or more",**
,,
50271,,"13,852"
50271,"$1 under $25,000",1366
50271,"$25,000 under $50,000",2907
50271,"$50,000 under $75,000",4206
50271,"$75,000 under $100,000",2204
50271,"$100,000 under $200,000",3169
50271,"$200,000 or more",**
,,
50273,,"229,529"
50273,"$1 under $25,000",14445
50273,"$25,000 under $50,000",29316
50273,"$50,000 under $75,000",36780
50273,"$75,000 under $100,000",37859
50273,"$100,000 under $200,000",65534
50273,"$200,000 or more",45595
,,
50274,,"9,850"
50274,"$1 under $25,000",621
50274,"$25,000 under $50,000",1780
50274,"$50,000 under $75,000",2255
50274,"$75,000 under $100,000",5194
50274,"$100,000 under $200,000",**
50274,"$200,000 or more",**
,,
50275,,"10,084"
50275,"$1 under $25,000",985
50275,"$25,000 under $50,000",2207
50275,"$50,000 under $75,000",2789
50275,"$75,000 under $100,000",4103
50275,"$100,000 under $200,000",**
50275,"$200,000 or more",**
,,
50276,,"61,617"
50276,"$1 under $25,000",3117
50276,"$25,000 under $50,000",8957
50276,"$50,000 under $75,000",11810
50276,"$75,000 under $100,000",13367
50276,"$100,000 under $200,000",24366
50276,"$200,000 or more",**
,,
50277,,"10,476"
50277,"$1 under $25,000",720
50277,"$25,000 under $50,000",2483
50277,"$50,000 under $75,000",2627
50277,"$75,000 under $100,000",4646
50277,"$100,000 under $200,000",**
50277,"$200,000 or more",**
,,
50278,,"21,251"
50278,"$1 under $25,000",1664
50278,"$25,000 under $50,000",2825
50278,"$50,000 under $75,000",5267
50278,"$75,000 under $100,000",3873
50278,"$100,000 under $200,000",7622
50278,"$200,000 or more",**
,,
50309,,"251,230"
50309,"$1 under $25,000",19094
50309,"$25,000 under $50,000",48067
50309,"$50,000 under $75,000",31319
50309,"$75,000 under $100,000",19740
50309,"$100,000 under $200,000",31666
50309,"$200,000 or more",101344
,,
50310,,"822,951"
50310,"$1 under $25,000",66497
50310,"$25,000 under $50,000",171679
50310,"$50,000 under $75,000",173890
50310,"$75,000 under $100,000",139127
50310,"$100,000 under $200,000",199100
50310,"$200,000 or more",72658
,,
50311,,"294,449"
50311,"$1 under $25,000",31866
50311,"$25,000 under $50,000",64810
50311,"$50,000 under $75,000",57160
50311,"$75,000 under $100,000",42350
50311,"$100,000 under $200,000",74700
50311,"$200,000 or more",23563
,,
50312,,"771,925"
50312,"$1 under $25,000",28551
50312,"$25,000 under $50,000",71201
50312,"$50,000 under $75,000",70706
50312,"$75,000 under $100,000",61800
50312,"$100,000 under $200,000",154718
50312,"$200,000 or more",384949
,,
50313,,"353,041"
50313,"$1 under $25,000",41687
50313,"$25,000 under $50,000",89237
50313,"$50,000 under $75,000",73445
50313,"$75,000 under $100,000",49277
50313,"$100,000 under $200,000",62629
50313,"$200,000 or more",36766
,,
50314,,"152,303"
50314,"$1 under $25,000",38395
50314,"$25,000 under $50,000",55783
50314,"$50,000 under $75,000",25915
50314,"$75,000 under $100,000",11329
50314,"$100,000 under $200,000",20881
50314,"$200,000 or more",**
,,
50315,,"717,346"
50315,"$1 under $25,000",93992
50315,"$25,000 under $50,000",195016
50315,"$50,000 under $75,000",157712
50315,"$75,000 under $100,000",114373
50315,"$100,000 under $200,000",109964
50315,"$200,000 or more",46289
,,
50316,,"232,092"
50316,"$1 under $25,000",43155
50316,"$25,000 under $50,000",80307
50316,"$50,000 under $75,000",56227
50316,"$75,000 under $100,000",30800
50316,"$100,000 under $200,000",21603
50316,"$200,000 or more",**
,,
50317,,"726,984"
50317,"$1 under $25,000",91355
50317,"$25,000 under $50,000",194247
50317,"$50,000 under $75,000",170892
50317,"$75,000 under $100,000",126581
50317,"$100,000 under $200,000",112395
50317,"$200,000 or more",31514
,,
50320,,"454,947"
50320,"$1 under $25,000",47311
50320,"$25,000 under $50,000",94058
50320,"$50,000 under $75,000",84068
50320,"$75,000 under $100,000",79190
50320,"$100,000 under $200,000",126669
50320,"$200,000 or more",23651
,,
50321,,"313,879"
50321,"$1 under $25,000",17168
50321,"$25,000 under $50,000",35433
50321,"$50,000 under $75,000",28587
50321,"$75,000 under $100,000",29525
50321,"$100,000 under $200,000",77839
50321,"$200,000 or more",125327
,,
50322,,"1,125,400"
50322,"$1 under $25,000",58508
50322,"$25,000 under $50,000",146475
50322,"$50,000 under $75,000",156981
50322,"$75,000 under $100,000",167145
50322,"$100,000 under $200,000",369969
50322,"$200,000 or more",226322
,,
50323,,"996,433"
50323,"$1 under $25,000",10144
50323,"$25,000 under $50,000",21930
50323,"$50,000 under $75,000",37022
50323,"$75,000 under $100,000",58601
50323,"$100,000 under $200,000",275467
50323,"$200,000 or more",593269
,,
50324,,"174,633"
50324,"$1 under $25,000",10153
50324,"$25,000 under $50,000",25016
50324,"$50,000 under $75,000",28655
50324,"$75,000 under $100,000",28196
50324,"$100,000 under $200,000",53382
50324,"$200,000 or more",29231
,,
50325,,"967,667"
50325,"$1 under $25,000",24187
50325,"$25,000 under $50,000",51167
50325,"$50,000 under $75,000",58736
50325,"$75,000 under $100,000",73194
50325,"$100,000 under $200,000",284043
50325,"$200,000 or more",476340
,,
50327,,"377,569"
50327,"$1 under $25,000",17546
50327,"$25,000 under $50,000",40420
50327,"$50,000 under $75,000",52101
50327,"$75,000 under $100,000",57670
50327,"$100,000 under $200,000",137971
50327,"$200,000 or more",71861
,,
50401,,"749,725"
50401,"$1 under $25,000",69835
50401,"$25,000 under $50,000",128925
50401,"$50,000 under $75,000",124600
50401,"$75,000 under $100,000",105582
50401,"$100,000 under $200,000",155496
50401,"$200,000 or more",165287
,,
50420,,"7,767"
50420,"$1 under $25,000",572
50420,"$25,000 under $50,000",1416
50420,"$50,000 under $75,000",2049
50420,"$75,000 under $100,000",3730
50420,"$100,000 under $200,000",**
50420,"$200,000 or more",**
,,
50421,,"80,627"
50421,"$1 under $25,000",6725
50421,"$25,000 under $50,000",12962
50421,"$50,000 under $75,000",16750
50421,"$75,000 under $100,000",13446
50421,"$100,000 under $200,000",19195
50421,"$200,000 or more",11549
,,
50423,,"70,870"
50423,"$1 under $25,000",5540
50423,"$25,000 under $50,000",13369
50423,"$50,000 under $75,000",15373
50423,"$75,000 under $100,000",12248
50423,"$100,000 under $200,000",24340
50423,"$200,000 or more",**
,,
50424,,"41,191"
50424,"$1 under $25,000",3116
50424,"$25,000 under $50,000",7671
50424,"$50,000 under $75,000",7597
50424,"$75,000 under $100,000",6628
50424,"$100,000 under $200,000",16179
50424,"$200,000 or more",**
,,
50428,,"333,829"
50428,"$1 under $25,000",19063
50428,"$25,000 under $50,000",38049
50428,"$50,000 under $75,000",42911
50428,"$75,000 under $100,000",41688
50428,"$100,000 under $200,000",86700
50428,"$200,000 or more",105418
,,
50430,,"12,426"
50430,"$1 under $25,000",1038
50430,"$25,000 under $50,000",2549
50430,"$50,000 under $75,000",1890
50430,"$75,000 under $100,000",2621
50430,"$100,000 under $200,000",4328
50430,"$200,000 or more",**
,,
50433,,"9,557"
50433,"$1 under $25,000",450
50433,"$25,000 under $50,000",1345
50433,"$50,000 under $75,000",2554
50433,"$75,000 under $100,000",**
50433,"$100,000 under $200,000",5208
50433,"$200,000 or more",**
,,
50434,,"11,604"
50434,"$1 under $25,000",1063
50434,"$25,000 under $50,000",2338
50434,"$50,000 under $75,000",2432
50434,"$75,000 under $100,000",1968
50434,"$100,000 under $200,000",3803
50434,"$200,000 or more",**
,,
50435,,"18,600"
50435,"$1 under $25,000",1548
50435,"$25,000 under $50,000",2864
50435,"$50,000 under $75,000",2749
50435,"$75,000 under $100,000",4442
50435,"$100,000 under $200,000",6997
50435,"$200,000 or more",**
,,
50436,,"149,588"
50436,"$1 under $25,000",10160
50436,"$25,000 under $50,000",26920
50436,"$50,000 under $75,000",27115
50436,"$75,000 under $100,000",26034
50436,"$100,000 under $200,000",35807
50436,"$200,000 or more",23552
,,
50438,,"116,295"
50438,"$1 under $25,000",7206
50438,"$25,000 under $50,000",18176
50438,"$50,000 under $75,000",21486
50438,"$75,000 under $100,000",23630
50438,"$100,000 under $200,000",31150
50438,"$200,000 or more",14647
,,
50439,,"5,614"
50439,"$1 under $25,000",282
50439,"$25,000 under $50,000",1988
50439,"$50,000 under $75,000",3344
50439,"$75,000 under $100,000",**
50439,"$100,000 under $200,000",**
50439,"$200,000 or more",**
,,
50440,,"11,740"
50440,"$1 under $25,000",798
50440,"$25,000 under $50,000",1877
50440,"$50,000 under $75,000",2182
50440,"$75,000 under $100,000",2351
50440,"$100,000 under $200,000",4532
50440,"$200,000 or more",**
,,
50441,,"139,192"
50441,"$1 under $25,000",11974
50441,"$25,000 under $50,000",25557
50441,"$50,000 under $75,000",22779
50441,"$75,000 under $100,000",20234
50441,"$100,000 under $200,000",29218
50441,"$200,000 or more",29430
,,
50444,,"9,705"
50444,"$1 under $25,000",712
50444,"$25,000 under $50,000",1857
50444,"$50,000 under $75,000",2241
50444,"$75,000 under $100,000",2150
50444,"$100,000 under $200,000",2745
50444,"$200,000 or more",**
,,
50446,,"14,751"
50446,"$1 under $25,000",965
50446,"$25,000 under $50,000",2837
50446,"$50,000 under $75,000",3501
50446,"$75,000 under $100,000",2768
50446,"$100,000 under $200,000",4680
50446,"$200,000 or more",**
,,
50447,,"27,731"
50447,"$1 under $25,000",2458
50447,"$25,000 under $50,000",4529
50447,"$50,000 under $75,000",5212
50447,"$75,000 under $100,000",4803
50447,"$100,000 under $200,000",10729
50447,"$200,000 or more",**
,,
50448,,"17,863"
50448,"$1 under $25,000",1277
50448,"$25,000 under $50,000",3360
50448,"$50,000 under $75,000",3228
50448,"$75,000 under $100,000",3165
50448,"$100,000 under $200,000",6833
50448,"$200,000 or more",**
,,
50449,,"14,436"
50449,"$1 under $25,000",1810
50449,"$25,000 under $50,000",3500
50449,"$50,000 under $75,000",4068
50449,"$75,000 under $100,000",2197
50449,"$100,000 under $200,000",2861
50449,"$200,000 or more",**
,,
50450,,"72,797"
50450,"$1 under $25,000",6415
50450,"$25,000 under $50,000",13348
50450,"$50,000 under $75,000",14126
50450,"$75,000 under $100,000",11854
50450,"$100,000 under $200,000",27054
50450,"$200,000 or more",**
,,
50451,,"11,365"
50451,"$1 under $25,000",1012
50451,"$25,000 under $50,000",3129
50451,"$50,000 under $75,000",1381
